Date,Region_Name,Average_Price_SA
01/01/1995,England,53535.97105
01/01/1995,Wales,43031.70419
01/01/1995,London,74007.77577
01/01/1995,North East,42059.44387
01/01/1995,West Midlands Region,48839.42358
01/01/1995,East Midlands,45837.90311
01/01/1995,South East,64526.21534
01/01/1995,South West,54706.49857
01/01/1995,East of England,57001.89716
01/01/1995,North West,44244.25341
01/01/1995,Yorkshire and The Humber,44813.83391
01/01/1995,England and Wales,53009.58689
01/02/1995,Wales,42817.07181
01/02/1995,England,53811.21418
01/02/1995,North West,44244.82715
01/02/1995,South West,54621.38002
01/02/1995,South East,64625.41598
01/02/1995,East Midlands,46379.65782
01/02/1995,East of England,56964.46451
01/02/1995,Yorkshire and The Humber,44648.96912
01/02/1995,North East,42548.7114
01/02/1995,London,73994.91017
01/02/1995,West Midlands Region,49658.977
01/02/1995,England and Wales,52973.72072
01/03/1995,Wales,42333.27727
01/03/1995,England,53442.23473
01/03/1995,South East,64899.28466
01/03/1995,East Midlands,45721.99691
01/03/1995,East of England,56886.26503
01/03/1995,Yorkshire and The Humber,45117.43329
01/03/1995,West Midlands Region,49653.81096
01/03/1995,North East,41928.08699
01/03/1995,London,74180.38616
01/03/1995,North West,44549.17095
01/03/1995,South West,54016.55481
01/03/1995,England and Wales,52863.75897
01/04/1995,England,53348.84176
01/04/1995,Wales,41941.51204
01/04/1995,South West,54224.28023
01/04/1995,East Midlands,45440.10572
01/04/1995,North West,43797.30833
01/04/1995,East of England,56689.49506
01/04/1995,North East,41439.12531
01/04/1995,Yorkshire and The Humber,44831.23963
01/04/1995,South East,64699.12535
01/04/1995,London,74199.12831
01/04/1995,West Midlands Region,49493.1802
01/04/1995,England and Wales,52706.5356
01/05/1995,England,53140.98223
01/05/1995,Wales,42174.12502
01/05/1995,East of England,56286.37273
01/05/1995,Yorkshire and The Humber,43858.01565
01/05/1995,South East,64401.61902
01/05/1995,West Midlands Region,49691.08834
01/05/1995,South West,54235.20498
01/05/1995,East Midlands,45325.43506
01/05/1995,North West,43431.49123
01/05/1995,North East,41820.73797
01/05/1995,London,74656.07287
01/05/1995,England and Wales,52538.50479
01/06/1995,Wales,42795.45696
01/06/1995,England,53051.38089
01/06/1995,West Midlands Region,49433.24516
01/06/1995,South East,65029.30205
01/06/1995,South West,53962.19533
01/06/1995,London,74652.06254
01/06/1995,Yorkshire and The Humber,44341.5268
01/06/1995,North West,43394.66457
01/06/1995,North East,40944.56991
01/06/1995,East of England,55885.9944
01/06/1995,East Midlands,45159.23231
01/06/1995,England and Wales,52486.33371
01/07/1995,Wales,42912.34981
01/07/1995,England,52854.8427
01/07/1995,South West,53478.34987
01/07/1995,North West,43214.58603
01/07/1995,East of England,56107.60281
01/07/1995,South East,64215.0238
01/07/1995,West Midlands Region,49058.86836
01/07/1995,East Midlands,45017.74432
01/07/1995,Yorkshire and The Humber,44150.94245
01/07/1995,North East,41798.8983
01/07/1995,London,74224.53394
01/07/1995,England and Wales,52317.47379
01/08/1995,England,52408.31115
01/08/1995,Wales,42527.45914
01/08/1995,West Midlands Region,48393.90677
01/08/1995,South East,63540.36851
01/08/1995,East of England,55632.28935
01/08/1995,North West,43160.68398
01/08/1995,East Midlands,44766.47474
01/08/1995,North East,40405.31384
01/08/1995,Yorkshire and The Humber,43842.97834
01/08/1995,South West,53396.27234
01/08/1995,London,74312.4429
01/08/1995,England and Wales,51870.17444
01/09/1995,Wales,42759.94157
01/09/1995,England,52522.18051
01/09/1995,South West,53395.09802
01/09/1995,South East,63654.44173
01/09/1995,East of England,55489.68763
01/09/1995,West Midlands Region,48685.60951
01/09/1995,North West,43098.08588
01/09/1995,North East,40807.22106
01/09/1995,East Midlands,44922.80794
01/09/1995,Yorkshire and The Humber,43895.00573
01/09/1995,London,73771.87925
01/09/1995,England and Wales,51992.5991
01/10/1995,England,52476.42096
01/10/1995,Wales,42196.00797
01/10/1995,Yorkshire and The Humber,43848.88665
01/10/1995,South East,63624.34842
01/10/1995,East of England,54966.1617
01/10/1995,South West,53518.9798
01/10/1995,North East,40941.82595
01/10/1995,West Midlands Region,49175.02422
01/10/1995,London,74304.38141
01/10/1995,East Midlands,44830.88344
01/10/1995,North West,42584.36421
01/10/1995,England and Wales,51916.62286
01/11/1995,Wales,42551.14281
01/11/1995,England,52334.23484
01/11/1995,West Midlands Region,48164.13166
01/11/1995,Yorkshire and The Humber,43581.55839
01/11/1995,South East,63999.0075
01/11/1995,South West,53199.73502
01/11/1995,East Midlands,44332.25323
01/11/1995,North West,42875.82265
01/11/1995,East of England,55614.43055
01/11/1995,North East,40970.32979
01/11/1995,London,74487.64723
01/11/1995,England and Wales,51843.87522
01/12/1995,England,52608.89937
01/12/1995,Wales,41985.32923
01/12/1995,East Midlands,45134.93691
01/12/1995,North West,42942.31974
01/12/1995,London,75179.1856
01/12/1995,North East,41360.52823
01/12/1995,Yorkshire and The Humber,43918.37727
01/12/1995,South East,64165.21061
01/12/1995,South West,53294.79574
01/12/1995,West Midlands Region,48689.90306
01/12/1995,East of England,55267.40461
01/12/1995,England and Wales,52049.21272
01/01/1996,England,52659.11726
01/01/1996,Wales,42404.29444
01/01/1996,Yorkshire and The Humber,43460.20057
01/01/1996,North West,42871.34043
01/01/1996,West Midlands Region,48241.78115
01/01/1996,North East,40713.96555
01/01/1996,London,74937.82287
01/01/1996,South West,53405.58228
01/01/1996,South East,64574.8588
01/01/1996,East of England,55319.58527
01/01/1996,East Midlands,44871.69155
01/01/1996,England and Wales,52140.53249
01/02/1996,England,53278.66187
01/02/1996,Wales,42315.59908
01/02/1996,Yorkshire and The Humber,43929.93566
01/02/1996,South West,53616.70547
01/02/1996,South East,64709.39556
01/02/1996,London,77326.28899
01/02/1996,West Midlands Region,48978.26262
01/02/1996,North East,40774.16031
01/02/1996,East of England,55725.23094
01/02/1996,East Midlands,44829.6741
01/02/1996,North West,43421.8236
01/02/1996,England and Wales,52477.69437
01/03/1996,England,52976.34585
01/03/1996,Wales,42118.33507
01/03/1996,East Midlands,45400.10926
01/03/1996,East of England,55830.33552
01/03/1996,North East,41292.29109
01/03/1996,South West,53988.24794
01/03/1996,South East,64639.0299
01/03/1996,North West,43294.49487
01/03/1996,West Midlands Region,49028.44012
01/03/1996,Yorkshire and The Humber,43810.35365
01/03/1996,London,76000.07869
01/03/1996,England and Wales,52406.54814
01/04/1996,Wales,42771.10007
01/04/1996,England,53095.72507
01/04/1996,Yorkshire and The Humber,43802.65211
01/04/1996,London,76479.64857
01/04/1996,North West,42911.33931
01/04/1996,South East,65060.31945
01/04/1996,West Midlands Region,48760.20059
01/04/1996,East Midlands,45167.39206
01/04/1996,North East,40907.54515
01/04/1996,South West,54244.5345
01/04/1996,East of England,55940.92312
01/04/1996,England and Wales,52500.21038
01/05/1996,England,53284.04267
01/05/1996,Wales,42739.7048
01/05/1996,West Midlands Region,49450.6854
01/05/1996,London,76471.15798
01/05/1996,Yorkshire and The Humber,43965.99514
01/05/1996,South West,54442.5616
01/05/1996,East of England,55937.82599
01/05/1996,East Midlands,45172.98968
01/05/1996,South East,65217.81944
01/05/1996,North West,43124.74527
01/05/1996,North East,41616.0035
01/05/1996,England and Wales,52706.60234
01/06/1996,Wales,42617.43936
01/06/1996,England,53425.39558
01/06/1996,Yorkshire and The Humber,44080.73535
01/06/1996,London,77182.18756
01/06/1996,North East,41439.22335
01/06/1996,West Midlands Region,49179.18826
01/06/1996,South East,65428.05811
01/06/1996,North West,43165.00932
01/06/1996,East Midlands,45624.41427
01/06/1996,East of England,56190.65671
01/06/1996,South West,54632.1509
01/06/1996,England and Wales,52832.36471
01/07/1996,Wales,42827.23576
01/07/1996,England,53632.4548
01/07/1996,North West,43397.57437
01/07/1996,North East,41330.69048
01/07/1996,Yorkshire and The Humber,44285.80929
01/07/1996,South East,65991.23391
01/07/1996,West Midlands Region,49620.81029
01/07/1996,South West,55088.97117
01/07/1996,East Midlands,45544.25342
01/07/1996,East of England,55935.99108
01/07/1996,London,76982.49396
01/07/1996,England and Wales,53050.86725
01/08/1996,Wales,42965.65675
01/08/1996,England,53894.13897
01/08/1996,North East,41819.9552
01/08/1996,North West,43560.55124
01/08/1996,West Midlands Region,49952.76554
01/08/1996,South East,65986.30731
01/08/1996,London,77777.10851
01/08/1996,South West,55147.87837
01/08/1996,East of England,56854.71555
01/08/1996,Yorkshire and The Humber,44225.01795
01/08/1996,East Midlands,45881.67626
01/08/1996,England and Wales,53295.17919
01/09/1996,Wales,42718.04215
01/09/1996,England,54183.62971
01/09/1996,Yorkshire and The Humber,44183.01209
01/09/1996,East of England,56769.93363
01/09/1996,East Midlands,46079.45896
01/09/1996,North East,42008.83815
01/09/1996,West Midlands Region,50185.43994
01/09/1996,South West,55522.22028
01/09/1996,South East,66441.01105
01/09/1996,London,78474.56769
01/09/1996,North West,43637.36529
01/09/1996,England and Wales,53559.40251
01/10/1996,England,54501.90517
01/10/1996,Wales,43529.97583
01/10/1996,Yorkshire and The Humber,44381.92095
01/10/1996,East of England,57361.41607
01/10/1996,East Midlands,46168.76548
01/10/1996,South West,56096.21042
01/10/1996,North East,41751.62167
01/10/1996,North West,43921.03942
01/10/1996,West Midlands Region,50542.79681
01/10/1996,South East,66571.59808
01/10/1996,London,79458.17428
01/10/1996,England and Wales,53899.70903
01/11/1996,England,54997.66648
01/11/1996,Wales,43231.45349
01/11/1996,West Midlands Region,51230.59805
01/11/1996,East Midlands,46618.93672
01/11/1996,South East,67542.69825
01/11/1996,North West,43970.2677
01/11/1996,East of England,58152.92685
01/11/1996,North East,42007.43266
01/11/1996,London,80512.87726
01/11/1996,South West,56488.04642
01/11/1996,Yorkshire and The Humber,45011.24552
01/11/1996,England and Wales,54390.58038
01/12/1996,England,55431.52759
01/12/1996,Wales,43925.84911
01/12/1996,North West,44171.29323
01/12/1996,East Midlands,47124.68258
01/12/1996,South East,68642.37192
01/12/1996,East of England,58671.58775
01/12/1996,Yorkshire and The Humber,44710.24857
01/12/1996,South West,57147.16156
01/12/1996,North East,41694.52865
01/12/1996,London,81419.29822
01/12/1996,West Midlands Region,51051.29236
01/12/1996,England and Wales,54828.8062
01/01/1997,England,56078.05962
01/01/1997,Wales,43388.67096
01/01/1997,North East,42205.04282
01/01/1997,South East,69533.02069
01/01/1997,East Midlands,46996.9187
01/01/1997,North West,44368.99338
01/01/1997,South West,57787.7995
01/01/1997,West Midlands Region,51411.57213
01/01/1997,Yorkshire and The Humber,44974.65484
01/01/1997,London,82727.56394
01/01/1997,East of England,59334.5684
01/01/1997,England and Wales,55419.50744
01/02/1997,Wales,45060.14004
01/02/1997,England,56978.18117
01/02/1997,North West,45116.96766
01/02/1997,South East,70667.32681
01/02/1997,North East,42747.4311
01/02/1997,London,84820.61491
01/02/1997,Yorkshire and The Humber,44868.8295
01/02/1997,East of England,60158.30394
01/02/1997,East Midlands,47700.57862
01/02/1997,West Midlands Region,51827.86607
01/02/1997,South West,58392.48106
01/02/1997,England and Wales,56179.81611
01/03/1997,Wales,44822.57934
01/03/1997,England,57144.80224
01/03/1997,South West,58938.97353
01/03/1997,South East,71637.86698
01/03/1997,East Midlands,47858.18742
01/03/1997,North West,45221.0753
01/03/1997,Yorkshire and The Humber,45290.68691
01/03/1997,London,84949.17854
01/03/1997,West Midlands Region,52344.83563
01/03/1997,North East,42241.86501
01/03/1997,East of England,60728.69437
