Date,HPI
1968-2,1.89
1968-3,1.95
1968-4,1.94
1969-1,1.97
1969-2,2
1969-3,2.02
1969-4,2.05
1970-1,2.06
1970-2,2.09
1970-3,2.18
1970-4,2.18
1971-1,2.24
1971-2,2.3
1971-3,2.44
1971-4,2.55
1972-1,2.71
1972-2,2.96
1972-3,3.41
1972-4,3.65
1973-1,4.07
1973-2,4.27
1973-3,4.56
1973-4,4.61
1974-1,4.68
1974-2,4.69
1974-3,4.73
1974-4,4.79
1975-1,4.81
1975-2,4.94
1975-3,5.09
1975-4,5.14
1976-1,5.25
1976-2,5.39
1976-3,5.52
1976-4,5.6
1977-1,5.65
1977-2,5.73
1977-3,5.9
1977-4,6.08
1978-1,6.22
1978-2,6.52
1978-3,6.98
1978-4,7.47
1979-1,7.86
1979-2,8.47
1979-3,9.12
1979-4,9.72
1980-1,10.11
1980-2,10.51
1980-3,10.94
1980-4,10.96
1981-1,10.98
1981-2,11.28
1981-3,11.46
1981-4,11.24
1982-1,10.96
1982-2,11.44
1982-3,11.73
1982-4,11.9
1983-1,12.25
1983-2,12.68
1983-3,13.21
1983-4,13.31
1984-1,13.42
1984-2,13.85
1984-3,14.38
1984-4,14.59
1985-1,14.59
1985-2,15.12
1985-3,15.44
1985-4,15.98
1986-1,16.3
1986-2,17.04
1986-3,17.79
1986-4,18.32
1987-1,18.85
1987-2,19.71
1987-3,20.66
1987-4,21.89
1988-1,22.81
1988-2,24.18
1988-3,27.4
1988-4,29.08
1989-1,29.69
1989-2,30.76
1989-3,31.84
1989-4,31.22
1990-1,30.55
1990-2,30.28
1990-3,30.83
1990-4,30.37
1991-1,29.94
1991-2,29.82
1991-3,30.4
1991-4,30.12
1992-1,29.64
1992-2,28.93
1992-3,29.02
1992-4,27.91
1993-1,28.05
1993-2,28.28
1993-3,28.88
1993-4,28.34
1994-1,28.65
1994-2,29.05
1994-3,29.53
1994-4,29.33
1995-1,29.08
1995-2,29.39
1995-3,29.64
1995-4,29.25
1996-1,29.67
1996-2,29.7
1996-3,30.87
1996-4,31.41
1997-1,31.84
1997-2,32.49
1997-3,34.14
1997-4,33.88
1998-1,34.74
1998-2,36.59
1998-3,38.18
1998-4,38.01
1999-1,38.24
1999-2,39.86
1999-3,42.19
1999-4,43.27
2000-1,44.38
2000-2,46.8
2000-3,47.68
2000-4,49.1
2001-1,48.85
2001-2,50.61
2001-3,52.43
2001-4,51.38
2002-1,53.06
2002-2,57.09
2002-3,61.23
2002-4,63.83
2003-1,64.78
2003-2,67.28
2003-3,69.83
2003-4,70.04
2004-1,71.15
2004-2,75.45
2004-3,79.32
2004-4,79.64
2005-1,78.93
2005-2,81.57
2005-3,83.62
2005-4,83.57
2006-1,84.04
2006-2,87.38
2006-3,90.23
2006-4,91.6
2007-1,92.97
2007-2,96.68
2007-3,99.54
2007-4,99.38
2008-1,96.6
2008-2,96.64
2008-3,92.36
2008-4,85.72
2009-1,81.51
2009-2,82.87
2009-3,86.03
2009-4,87.58
2010-1,88.05
2010-2,89.61
2010-3,90.95
2010-4,88.64
2011-1,87.28
2011-2,87.83
2011-3,89.14
2011-4,87.99
2012-1,86.78
2012-2,88.32
2012-3,89.63
2012-4,88.76
2013-1,87.95
2013-2,89.81
2013-3,92.3
2013-4,92.49
2014-1,93.84
2014-2,97.28
2014-3,100.66
2014-4,100.29
2015-1,100.09
2015-2,102.44
2015-3,105.93
2015-4,107.11
2016-1,107.83
2016-2,110.6
2016-3,112.84
2016-4,112.82
2017-1,113.05
2017-2,115.28
2017-3,118.31
2017-4,117.67
2018-1,117.92
2018-2,119
2018-3,121.97
